rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
37,bert_base,BERT Base Embeddings,embedding,high,extra_trees,Extra Trees Classifier,tree_based,medium,bert_base__extra_trees,completed,0.8,0.7948051948051947,0.7916883116883117,0.8333333333333334,0.8095238095238094,9.506241083145142,3.2580859661102295,429487.9833984375,79.56363636363636,0.0,55,62.010000000000005,
38,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,linear_svc,LinearSVC,margin_based,medium,sentence_minilm__linear_svc,completed,0.75,0.7452991452991453,0.7492307692307693,0.75,0.746031746031746,5.863069534301758,0.19752931594848633,89638.1376953125,74.70641025641025,12.969823837280273,55,61.9324904084817,
39,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word_1_2__logreg_balanced,completed,0.3,0.287962962962963,0.29125,0.3055555555555555,0.29365079365079366,0.06968808174133301,0.01682281494140625,50.80078125,29.146527777777777,97.55648698806763,100,60.54188767539131,
40,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,logreg_balanced,Logistic Regression Balanced,linear,low,sentence_minilm__logreg_balanced,completed,0.7,0.6975524475524475,0.7016608391608392,0.746031746031746,0.6984126984126985,6.426381826400757,0.23079586029052734,89638.9228515625,69.87805944055944,7.593957424163818,70,60.451724177140456,
41,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_char_3_5__sgd_log,completed,0.4,0.38413547237076645,0.3798128342245989,0.40454545454545454,0.41269841269841273,0.10895681381225586,0.0190584659576416,285.94140625,38.74532085561497,92.48392303466798,70,60.30671107752183,
42,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_word_1_2__multinomial_nb,completed,0.3,0.27481146304675713,0.278552036199095,0.2722222222222222,0.29365079365079366,0.04118180274963379,0.008682012557983398,69.3681640625,28.166968325791853,97.84462514877319,100,60.06075760894016,
43,word2vec_avg,Word2Vec Average,embedding_static,medium,gradient_boosting,Gradient Boosting Trees,boosting,high,word2vec_avg__gradient_boosting,completed,0.55,0.562962962962963,0.5511111111111111,0.6181818181818182,0.5555555555555555,3.8748652935028076,0.004507780075073242,1177.8759765625,55.794444444444444,52.922821903228765,55,59.5215088250902,
44,word2vec_avg,Word2Vec Average,embedding_static,medium,xgboost,XGBoost Classifier,boosting,high,word2vec_avg__xgboost,completed,0.45,0.44957264957264953,0.44128205128205134,0.4488095238095238,0.4603174603174603,1.089048147201538,0.004994869232177734,1263.3369140625,44.84358974358974,67.89928068161011,55,56.49383049529638,
45,bert_base,BERT Base Embeddings,embedding,high,gradient_boosting,Gradient Boosting Trees,boosting,high,bert_base__gradient_boosting,completed,0.7,0.7008547008547009,0.7025641025641025,0.7296296296296297,0.7063492063492064,16.569303274154663,2.3530290126800537,429013.20703125,70.08974358974359,0.0,40,54.54935897435898,
46,fasttext_avg,FastText Average,embedding_static,medium,gradient_boosting,Gradient Boosting Trees,boosting,high,fasttext_avg__gradient_boosting,completed,0.6,0.6008547008547008,0.5924358974358974,0.6047619047619048,0.611111111111111,7.360052108764648,0.007666826248168945,2344237.6884765625,59.93782051282051,15.379677772521973,55,54.29173683655568,
47,bert_base,BERT Base Embeddings,embedding,high,random_forest_small,Small Random Forest,tree_based,high,bert_base__random_forest_small,completed,0.7,0.6940170940170939,0.6979487179487179,0.7071428571428572,0.6984126984126985,10.186876773834229,2.3668179512023926,428743.4833984375,69.6102564102564,0.0,40,54.28564102564102,
48,bert_base,BERT Base Embeddings,embedding,high,xgboost,XGBoost Classifier,boosting,high,bert_base__xgboost,completed,0.7,0.6944444444444443,0.6916666666666667,0.7333333333333334,0.7142857142857143,10.763906955718994,2.735004186630249,429087.3583984375,69.54166666666666,0.0,40,54.24791666666666,
49,fasttext_avg,FastText Average,embedding_static,medium,extra_trees,Extra Trees Classifier,tree_based,medium,fasttext_avg__extra_trees,completed,0.45,0.4044657097288676,0.40468899521531104,0.4166666666666667,0.4444444444444444,3.6138381958007812,0.06192731857299805,2344818.7021484375,41.588277511961714,34.60133171081543,70,50.293818973742034,
50,fasttext_avg,FastText Average,embedding_static,medium,xgboost,XGBoost Classifier,boosting,high,fasttext_avg__xgboost,completed,0.45,0.4542124542124542,0.4384615384615385,0.4444444444444444,0.4682539682539682,3.989132881164551,0.008309125900268555,2344335.9765625,45.079670329670336,35.56665515899658,55,50.157149713118,
51,word2vec_avg,Word2Vec Average,embedding_static,medium,linear_svc,LinearSVC,margin_based,medium,word2vec_avg__linear_svc,completed,0.35,0.1728395061728395,0.18148148148148147,0.11666666666666665,0.3333333333333333,0.05580282211303711,0.0025184154510498047,794.4658203125,21.84259259259259,83.62476173400879,70,49.23837827272769,
52,fasttext_avg,FastText Average,embedding_static,medium,random_forest_small,Small Random Forest,tree_based,high,fasttext_avg__random_forest_small,completed,0.45,0.38611111111111107,0.37416666666666665,0.3333333333333333,0.4682539682539682,3.519047737121582,0.00966954231262207,2343975.9052734375,40.02916666666666,38.305541038513184,55,47.927149874369306,
53,word2vec_avg,Word2Vec Average,embedding_static,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,word2vec_avg__sgd_log,completed,0.3,0.15384615384615385,0.13846153846153847,0.09999999999999999,0.3333333333333333,0.05277824401855469,0.0026845932006835938,791.2822265625,18.80769230769231,83.69661041259766,70,47.583552851750305,
